ID,Name,Scheme,Mood,Colors,Fonts,Use Case
8-bit-orbit,8-Bit Orbit,dark,"retro-tech, playful, cyberpunk","deep navy, neon, pixel-art",pixel-art display,"gaming, web3, hackathons"
biennale-yellow,Biennale Yellow,light,"editorial, atmospheric, poster-like","solar yellow, parchment, indigo",indigo serif,"art/museum, Dutch-editorial"
block-frame,BlockFrame,light,"bold, playful, graphic","pastel-neon, chunky black borders",chunky sans,"neobrutalist, agency, SaaS"
blue-professional,Blue Professional,light,"professional, calm, trustworthy","cream, cobalt blue",clean sans,"B2B, consulting, investor"
bold-poster,Bold Poster,light,"bold, editorial, loud","fire-engine red",Shrikhand display,"manifestos, magazine cover"
broadside,Broadside,dark,"editorial, dramatic, newspaper","fire orange",Latin/Chinese stack,"bilingual EN/CN, headlines"
capsule,Capsule,light,"playful, modern, fresh","warm bone, pastel-pop",pill-card sans,"Y2K, DTC, creator"
cartesian,Cartesian,light,"quiet, elegant, warm-minimal","warm-neutral",Playfair serif,"white papers, advisory"
cobalt-grid,Cobalt Grid,light,"editorial, studious, modernist","cobalt, graph-paper cream",cobalt serif,"design-research bulletins"
coral,Coral,mixed,"bold, warm, confident","cream, coral, near-black",Bebas Neue,"fashion, beauty, fitness"
creative-mode,Creative Mode,light,"creative, confident, playful","cream, green/pink/orange/yellow",Archivo Black,"agency, design studios"
daisy-days,Daisy Days,light,"cheerful, sunny, wholesome","pastels, hand-drawn daisies/stars",rounded sans,"education, kids, wellness"
editorial-forest,Editorial Forest,mixed,"editorial, quiet, warm","forest green, dusty pink, cream",Source Serif 4,"quarterly reviews, readouts"
editorial-tri-tone,Editorial Tri-Tone,mixed,"editorial, moody","dusty pink, mustard cream, burgundy",Bricolage + Instrument Serif,"fashion spreads"
emerald-editorial,Emerald Editorial,mixed,"editorial, magazine-cover","emerald, navy, paper",Bodoni-style serif,"leadership readouts"
grove,Grove,mixed,"organic, warm, literary","forest green, cream, rust",Playfair,"sustainability, wineries"
long-table,Long Table,light,"warm, intimate, hospitality","cream, rust-red",grotesk + Fraunces,"supper clubs, dinner series"
mat,Mat,mixed,"warm-modern, mid-century","dark sage, bone, burnt orange",mid-century sans,"architecture, craft, furniture"
monochrome,Monochrome,light,"restrained, archival, ledger","ivory, all-black",Lora + Jost,"white papers, policy briefs"
neo-grid-bold,Neo-Grid Bold,light,"confident, punchy, editorial","neon yellow, off-white",bold grotesk,"stat-heavy, keynotes"
peoples-platform,People's Platform,light,"activist, loud, graphic","blue/orange/red, cream",Alfa Slab + Caveat Brush,"manifestos, civic decks"
pin-and-paper,Pin & Paper,light,"crafted, handmade, literary","yellow paper, ink-blue",Caveat,"qualitative research, reflections"
pink-script,Pink Script - After Hours,dark,"nocturnal, moody, luxe","black, hot pink, pearl-cream",Instrument Serif,"fashion, nightlife, luxury"
playful,Playful,light,"warm, indie, friendly","peach",Syne display,"indie launches, creator"
raw-grid,Raw Grid,light,"raw, punchy, energetic","pink/sage/ink, thick borders",offset-shadow sans,"founder pitches, demos"
retro-windows,Retro Windows,light,"nostalgic, geeky, playful","Win95 gray chrome",MS Sans Serif,"retro gaming, Y2K"
retro-zine,Retro Zine,light,"crafted, lo-fi, underground","beige, green",Bebas Neue + Caveat,"indie zines, music/arts"
sakura-chroma,Sakura Chroma,light,"retro, kawaii-tech, tactile","cream, rainbow ribbons",condensed bold,"vintage Japanese cassette look"
scatterbrain,Scatterbrain,light,"playful, workshop, messy-on-purpose","pastel sticky notes",Caveat + Shrikhand + Zilla Slab,"brainstorms, ideation"
signal,Signal,mixed,"institutional, weighty","navy, bone, muted gold",serif stack,"investor/board decks, legal"
soft-editorial,Soft Editorial,light,"literary, elegant, quiet","warm paper, sage/blush/lemon",Cormorant Garamond,"editorial features, galleries"
stencil-tablet,Stencil & Tablet,light,"archival, earthy, tactile","bone paper, six-color earth",stencil display,"museum, heritage, manifestos"
studio,Studio,dark,"electric, bold, high-contrast","black, electric yellow",bold grotesk,"studio credentials, loudest in the library"
vellum,Vellum,dark,"scholarly, literary, quiet","navy, warm-yellow, dusty teal",Cormorant,"research synthesis, academic"
